doctor_id,hospital_id,affiliation_source
D001,H001,SIMULATED demo assignment
D002,H002,SIMULATED demo assignment
D003,H003,SIMULATED demo assignment
D004,H004,SIMULATED demo assignment
D005,H002,publicly listed affiliation
D006,H006,SIMULATED demo assignment
D007,H002,publicly listed affiliation
D008,H008,SIMULATED demo assignment
D009,H009,SIMULATED demo assignment
D010,H010,SIMULATED demo assignment
D011,H011,SIMULATED demo assignment
D012,H012,SIMULATED demo assignment
D013,H013,SIMULATED demo assignment
D014,H014,SIMULATED demo assignment
D015,H001,publicly listed affiliation
D016,H016,SIMULATED demo assignment
D017,H008,publicly listed affiliation
D018,H018,SIMULATED demo assignment
D019,H019,SIMULATED demo assignment
D020,H020,SIMULATED demo assignment
D021,H001,SIMULATED demo assignment
D022,H004,publicly listed affiliation
D023,H003,SIMULATED demo assignment
D024,H004,SIMULATED demo assignment
D025,H005,SIMULATED demo assignment
D026,H006,SIMULATED demo assignment
D027,H007,SIMULATED demo assignment
D028,H008,SIMULATED demo assignment
D029,H009,SIMULATED demo assignment
D030,H010,SIMULATED demo assignment
D031,H011,SIMULATED demo assignment
D032,H012,SIMULATED demo assignment
D033,H013,SIMULATED demo assignment
D034,H014,SIMULATED demo assignment
D035,H015,SIMULATED demo assignment
D036,H016,SIMULATED demo assignment
D037,H017,SIMULATED demo assignment
D038,H018,SIMULATED demo assignment
D039,H019,SIMULATED demo assignment
D040,H020,SIMULATED demo assignment
D041,H001,SIMULATED demo assignment
D042,H002,SIMULATED demo assignment
D043,H003,SIMULATED demo assignment
D044,H004,SIMULATED demo assignment
D045,H007,publicly listed affiliation
D046,H006,SIMULATED demo assignment
D047,H007,SIMULATED demo assignment
D048,H008,SIMULATED demo assignment
D049,H009,SIMULATED demo assignment
D050,H010,SIMULATED demo assignment
D051,H011,SIMULATED demo assignment
D052,H012,SIMULATED demo assignment
D053,H013,SIMULATED demo assignment
D054,H014,SIMULATED demo assignment
D055,H001,publicly listed affiliation
D056,H016,SIMULATED demo assignment
D057,H017,SIMULATED demo assignment
D058,H018,SIMULATED demo assignment
D059,H019,SIMULATED demo assignment
D060,H020,SIMULATED demo assignment
D061,H001,SIMULATED demo assignment
D062,H002,SIMULATED demo assignment
D063,H003,SIMULATED demo assignment
D064,H004,SIMULATED demo assignment
D065,H005,SIMULATED demo assignment
D066,H007,publicly listed affiliation
D067,H007,SIMULATED demo assignment
D068,H008,SIMULATED demo assignment
D069,H009,SIMULATED demo assignment
D070,H010,SIMULATED demo assignment
D071,H011,SIMULATED demo assignment
D072,H004,publicly listed affiliation
D073,H013,SIMULATED demo assignment
D074,H014,SIMULATED demo assignment
D075,H004,publicly listed affiliation
D076,H004,publicly listed affiliation
D077,H017,SIMULATED demo assignment
D078,H018,SIMULATED demo assignment
D079,H019,SIMULATED demo assignment
D080,H004,publicly listed affiliation
D081,H001,SIMULATED demo assignment
D082,H002,SIMULATED demo assignment
D083,H008,publicly listed affiliation
D084,H004,SIMULATED demo assignment
D085,H005,SIMULATED demo assignment
D086,H016,publicly listed affiliation
D087,H007,SIMULATED demo assignment
D088,H008,SIMULATED demo assignment
D089,H009,SIMULATED demo assignment
D090,H004,publicly listed affiliation
D091,H004,publicly listed affiliation
D092,H012,SIMULATED demo assignment
D093,H013,SIMULATED demo assignment
D094,H014,SIMULATED demo assignment
D095,H015,SIMULATED demo assignment
D096,H005,publicly listed affiliation
D097,H017,SIMULATED demo assignment
D098,H018,SIMULATED demo assignment
D099,H001,publicly listed affiliation
D100,H020,SIMULATED demo assignment
