appointment_id,doctor_id,hospital_id,appointment_time,priority,estimated_duration_minutes_SIMULATED,status
A001,D001,H001,2026-08-14 09:00,MEDIUM,15,BOOKED
A002,D002,H002,2026-08-14 09:10,LOW,20,BOOKED
A003,D003,H003,2026-08-14 09:20,LOW,25,BOOKED
A004,D004,H004,2026-08-14 09:30,LOW,30,BOOKED
A005,D005,H002,2026-08-14 09:40,LOW,15,BOOKED
A006,D006,H006,2026-08-14 09:50,HIGH,20,BOOKED
A007,D007,H002,2026-08-14 10:00,LOW,25,BOOKED
A008,D008,H008,2026-08-14 10:10,LOW,30,BOOKED
A009,D009,H009,2026-08-14 10:20,LOW,15,BOOKED
A010,D010,H010,2026-08-14 10:30,LOW,20,BOOKED
A011,D011,H011,2026-08-14 10:40,HIGH,25,BOOKED
A012,D012,H012,2026-08-14 10:50,LOW,30,BOOKED
A013,D013,H013,2026-08-14 11:00,LOW,15,BOOKED
A014,D014,H014,2026-08-14 11:10,LOW,20,BOOKED
A015,D015,H001,2026-08-14 11:20,LOW,25,BOOKED
A016,D016,H016,2026-08-14 11:30,MEDIUM,30,BOOKED
A017,D017,H008,2026-08-14 11:40,LOW,15,BOOKED
A018,D018,H018,2026-08-14 11:50,LOW,20,BOOKED
A019,D019,H019,2026-08-14 12:00,LOW,25,BOOKED
A020,D020,H020,2026-08-14 12:10,LOW,30,BOOKED
A021,D021,H001,2026-08-14 12:20,HIGH,15,BOOKED
A022,D022,H004,2026-08-14 12:30,LOW,20,BOOKED
A023,D023,H003,2026-08-14 12:40,LOW,25,BOOKED
A024,D024,H004,2026-08-14 12:50,LOW,30,BOOKED
A025,D025,H005,2026-08-14 13:00,LOW,15,BOOKED
A026,D026,H006,2026-08-14 13:10,HIGH,20,BOOKED
A027,D027,H007,2026-08-14 13:20,LOW,25,BOOKED
A028,D028,H008,2026-08-14 13:30,LOW,30,BOOKED
A029,D029,H009,2026-08-14 13:40,LOW,15,BOOKED
A030,D030,H010,2026-08-14 13:50,LOW,20,BOOKED
