doctor_id,doctor_name,qualification,specialty,clinic_or_affiliation,hospital_id,affiliation_source,experience_years_SIMULATED,consultation_minutes_SIMULATED,available_now_SIMULATED,current_queue_SIMULATED,max_daily_patients_SIMULATED,workload_percent_SIMULATED,emergency_available_SIMULATED,teleconsultation_SIMULATED,rating_SIMULATED
D001,Dr. A.C. Agarwal,"MBBS, MD (Medicine)",General Medicine,"CGHS, Civil Lines",H001,SIMULATED demo assignment,5,15,False,0,18,25,False,False,3.8
D002,Dr. Rita Mittal,"MBBS, MS (Obst. & Gyne.)",Obstetrics & Gynaecology,"58/86, Birhana Road, Kanpur",H002,SIMULATED demo assignment,8,20,True,3,24,32,True,True,3.8
D003,Dr. A.K. Agarwal,"MBBS, MD (TB & Chest)",Pulmonology,"104A/228, P. Road, Kanpur",H003,SIMULATED demo assignment,11,25,True,6,30,39,True,True,3.9
D004,Dr. Lata Agarwal,"MBBS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,"104A/228, P. Road, Kanpur",H004,SIMULATED demo assignment,14,30,True,0,36,46,False,True,3.9
D005,Dr. Ajay Kumar Agarwal,"MBBS, MS (ENT)",ENT,"E.N.T. Care Clinic, Ramadevi, Kanpur",H002,publicly listed affiliation,17,15,True,3,42,53,True,False,4.0
D006,Dr. Akhilesh Agarwal,"MBBS, MD (Forensic Medicine)",Forensic Medicine,"MRA Govt. Medical College, UP",H006,SIMULATED demo assignment,20,20,False,6,18,60,True,True,4.0
D007,Dr. Kajali Gupta,"MBBS, DGO",Obstetrics & Gynaecology,"AHM & Dufferin Hospital, Kanpur",H002,publicly listed affiliation,23,25,True,0,24,67,False,True,4.1
D008,Dr. Amitabh Agarwal,"MBBS, MD",General Medicine,Kanpur,H008,SIMULATED demo assignment,26,30,False,3,30,74,True,True,4.1
D009,Dr. Love Leena Agarwal,"MBBS, MD",General Medicine,Kanpur,H009,SIMULATED demo assignment,29,15,True,6,36,81,True,False,4.2
D010,Dr. Ankit Agarwal,"MBBS, MD (Skin & VD)",Dermatology,"Dr. Agarwal Skin & Laser Centre, Swaroop Nagar",H010,SIMULATED demo assignment,6,20,True,0,42,88,False,True,4.2
D011,Dr. Ruchika Agarwal,"MBBS, MS (Ophthalmics)",Ophthalmology,"Rama Medical College, Kanpur",H011,SIMULATED demo assignment,9,25,True,3,18,25,True,True,4.3
D012,Dr. Ankit Agarwal,"MBBS, MD (Medicine)",General Medicine,"Ordinance Hospital, Armapur",H012,SIMULATED demo assignment,12,30,True,6,24,32,True,True,4.3
D013,Dr. Anuj Agarwal,MBBS,General Medicine,Kanpur,H013,SIMULATED demo assignment,15,15,False,0,30,39,False,False,3.8
D014,Dr. Rekha Agarwal,MD (Anaesthesia),Anaesthesiology,Kanpur,H014,SIMULATED demo assignment,18,20,True,3,36,46,True,True,3.8
D015,Dr. Apurva Agarwal,"MBBS, MD (Anesthesia)",Anaesthesiology,Dept. of Anesthesia GSVM Medical College,H001,publicly listed affiliation,21,25,False,6,42,53,True,True,3.9
D016,Dr. Shaily Agarwal,"MBBS, MS (Obst. & Gyne.)",Obstetrics & Gynaecology,"235/11, Shastri Nagar, Kanpur",H016,SIMULATED demo assignment,24,30,True,0,18,60,False,True,3.9
D017,Dr. Devendra Agarwal,"MBBS, MS, M.Ch (Paediatric Surgery)",Paediatric Surgery,Kanpur,H008,publicly listed affiliation,27,15,True,3,24,67,True,False,4.0
D018,Dr. Dilip Agarwal,"MBBS, D. Orth.",Orthopaedics,Kanpur,H018,SIMULATED demo assignment,30,20,True,6,30,74,True,True,4.0
D019,Dr. Kiran Agarwal,"MBBS, DGO (Obst. & Gyne.)",Obstetrics & Gynaecology,Kanpur,H019,SIMULATED demo assignment,7,25,True,0,36,81,False,True,4.1
D020,Dr. Gaurav Agarwal,"MBBS, DTCD",Pulmonology,"District Hospital, Unnao",H020,SIMULATED demo assignment,10,30,False,3,42,88,True,True,4.1
D021,Dr. Gaurav Agarwal,"MBBS, MS (Ophthalmology)",Ophthalmology,"Keshavpuram, Kanpur",H001,SIMULATED demo assignment,13,15,True,6,18,25,True,False,4.2
D022,Dr. Harsh Kumar Agarwal,"MBBS, MD, DM (Cardiology)",Cardiology,"Regency Hospital, Sarvodaya Nagar",H004,publicly listed affiliation,16,20,False,0,24,32,False,True,4.2
D023,Dr. Hemant Agarwal,"MBBS, DNB Med",General Medicine,"CGHS WC, Ratanlal Nagar",H003,SIMULATED demo assignment,19,25,True,3,30,39,True,True,4.3
D024,Dr. Himanshu Agarwal,MBBS,General Medicine,Kanpur,H004,SIMULATED demo assignment,22,30,True,6,36,46,True,True,4.3
D025,Dr. Jaya Agarwal,"MBBS, MD (Paediatrics)",Paediatrics,Kanpur,H005,SIMULATED demo assignment,25,15,True,0,42,53,False,False,3.8
D026,Dr. Jitendra Agarwal,"MBBS, MS (Surgery)",General Surgery,Kanpur,H006,SIMULATED demo assignment,28,20,True,3,18,60,True,True,3.8
D027,Dr. Krishna Chandra Agarwal,"MBBS, MD (Paediatrics)",Paediatrics,"48/254, Generalganj, Kanpur",H007,SIMULATED demo assignment,5,25,False,6,24,67,True,True,3.9
D028,Dr. K.K. Agarwal,"MBBS, MD (Medicine)",General Medicine,"Civil Lines, Kanpur",H008,SIMULATED demo assignment,8,30,True,0,30,74,False,True,3.9
D029,Dr. Asha Agarwal,MD (Pathology),Pathology,"Pathway Diagnostics, Lajpat Nagar",H009,SIMULATED demo assignment,11,15,False,3,36,81,True,False,4.0
D030,Dr. Kartik Agarwal,"MBBS, MD (Medicine)",General Medicine,"Civil Lines, Kanpur",H010,SIMULATED demo assignment,14,20,True,6,42,88,True,True,4.0
D031,Dr. M.P. Agarwal,"MBBS, DCP (Pathology)",Pathology,Kanpur,H011,SIMULATED demo assignment,17,25,True,0,18,25,False,True,4.1
D032,Dr. Manisha Agarwal,MBBS (Trained in Ultrasound),Radiology/Imaging,"Lal Bangla, Kanpur",H012,SIMULATED demo assignment,20,30,True,3,24,32,True,True,4.1
D033,Dr. Manoj Agarwal,"MBBS, MD (Medicine)",General Medicine,Kanpur,H013,SIMULATED demo assignment,23,15,True,6,30,39,True,False,4.2
